 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
C≠Íng Æπo ngoπi tÈc	0	0	0	1000	5	17	10	10	720	Õ‚◊Â«øµ¡	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Cung thÒ ngoπi tÈc	0	3	3	8421	8	17	10	10	1080	Õ‚◊Âπ≠ ÷	ø’ ÷	1220	100	50	320;380	0;0	10	62	30	51	16	300	5	9	705	2	100										\settings\droprate\npcdroprate069.ini	1	63	599	599	35	0									
TËng th≠¨ng qu©n	0	4	4	4395	5	17	10	10	900	ÀŒ«π±¯	ø’ ÷	484	100	72	180;204	0;0	10	30	6	16	25	300	5	9	701	2	100										\settings\droprate\npcdroprate070.ini	1	45	199	199	32	0									
TËng Æao binh	0	3	3	3975	5	17	10	10	900	ÀŒµ∂±¯	ø’ ÷	469	100	70	180;194	0;0	10	50	26	16	18	300	5	9	701	2	100										\settings\droprate\npcdroprate071.ini	1	44	186	186	32	0									
TËng ti‘n binh	0	0	0	1000	5	17	10	10	720	ÀŒº˝±¯	ø’ ÷	570	100	30	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
TËng n‚ binh	0	0	0	4263	8	17	10	10	900	ÀŒÂÛ±¯	ø’ ÷	770	100	30	169;193	0;0	10	31	6	16	12	300	5	9	705	2	100										\settings\droprate\npcdroprate072.ini	1	43	174	174	44	0									
TËng thu…n binh	0	0	0	1000	5	17	10	10	720	ÀŒ∂‹±¯	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Kim th≠¨ng qu©n	0	2	2	4395	8	17	10	10	900	Ω«π±¯	ø’ ÷	496	100	75	190;210	0;0	10	30	6	16	20	300	5	9	701	2	100										\settings\droprate\npcdroprate073.ini	1	46	214	214	32	0									
Kim Æao binh	0	5	5	3538	8	17	10	10	900	Ωµ∂±¯	ø’ ÷	454	100	70	164;198	0;0	10	30	21	16	20	300	5	9	701	2	100										\settings\droprate\npcdroprate074.ini	1	43	174	174	32	0									
Kim ti‘n binh	0	0	0	4270	8	17	10	10	900	Ωº˝±¯	ø’ ÷	870	100	25	162;188	0;0	10	31	6	16	12	300	5	9	705	2	100										\settings\droprate\npcdroprate075.ini	1	42	163	163	44	0									
Kim n‚ binh	0	0	0	1000	5	17	10	10	720	ΩÂÛ±¯	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Kim thu…n binh	0	0	0	1000	5	17	10	10	720	Ω∂‹±¯	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ßao Tµ	0	0	0	1000	5	17	10	10	720	µ∂–∞	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ki’m Tµ	0	3	3	4827	8	17	10	10	720	Ω£–∞	ø’ ÷	558	100	80	0;0	200;290	10	40	42	21	21	300	5	9	703	2	100										\settings\droprate\npcdroprate077.ini	1	50	289	289	22	0									
Th≠¨ng Tµ	0	1	1	5581	8	17	10	10	900	«π–∞	ø’ ÷	654	100	100	0;0	257;319	10	41	32	21	16	300	5	9	703	2	90	616	7	10							\settings\droprate\npcdroprate078.ini	1	56	405	405	32	0									
ßao CuÂng	0	0	0	1000	5	17	10	10	720	µ∂øÒ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ki’m CuÂng	0	3	3	2425	8	17	10	10	720	Ω£øÒ	ø’ ÷	383	100	40	129;151	0;0	10	27	10	14	10	300	5	18	701	2	100										\settings\droprate\npcdroprate080.ini	1	38	127	127	29	0									
Th≠¨ng CuÂng	0	3	3	5365	8	17	10	10	900	«πøÒ	ø’ ÷	526	100	60	196;230	0;0	10	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate081.ini	1	40	230	230	18	0									
ßao Tuy÷t	0	0	0	2425	8	17	10	10	720	µ∂æ¯	ø’ ÷	371	100	40	0;0	126;142	10	52	40	27	10	300	5	18	703	2	100										\settings\droprate\npcdroprate082.ini	1	37	115	115	27	0									
Ki’m Tuy÷t	0	5	5	2436	8	17	10	10	720	Ω£æ¯	ø’ ÷	396	100	40	100;196	0;0	10	30	10	16	30	300	6	18	701	2	100										\settings\droprate\npcdroprate083.ini	1	39	136	136	22	0									
Th≠¨ng Tuy÷t	0	0	0	1000	5	17	10	10	720	«πæ¯	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ßao S∏t	0	0	0	983	5	17	10	10	720	µ∂…∑	ø’ ÷	178	100	15	57;85	0;0	10	20	12	32	6	300	6	27	701	2	100										\settings\droprate\npcdroprate084.ini	1	22	55	55	35	0									
Ki’m S∏t	0	4	4	2565	8	17	10	10	720	Ω£…∑	ø’ ÷	359	100	27	113;141	0;0	10	24	35	13	8	300	6	27	701	2	100										\settings\droprate\npcdroprate085.ini	1	36	108	108	28	0									
Th≠¨ng S∏t	0	0	0	1000	5	17	10	10	720	«π…∑	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Dπ Xoa1	0	0	0	1000	5	17	10	10	720	“π≤Ê1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Dπ Xoa2	0	0	0	1000	5	17	10	10	720	“π≤Ê2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Dπ Xoa3	0	0	0	1000	5	17	10	10	720	“π≤Ê3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C´ L©u Æao thÒ	0	6	6	4336	8	17	10	10	900	˜º˜√µ∂ ÷	ø’ ÷	469	100	30	172;202	0;0	10	30	6	16	12	300	5	9	701	2	100										\settings\droprate\npcdroprate089.ini	1	44	186	186	44	0									
C´ L©u th≠¨ng thÒ	0	6	6	4336	5	17	10	10	900	˜º˜√«π ÷	ø’ ÷	469	100	30	172;202	0;0	10	30	6	16	12	300	5	9	701	2	100										\settings\droprate\npcdroprate090.ini	1	44	186	186	44	0									
C´ L©u ti‘n thÒ	0	0	0	1000	5	17	10	10	720	˜º˜√º˝ ÷	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C≠¨ng Thi1	0	0	0	1000	5	17	10	10	720	Ω© ¨1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C≠¨ng Thi2	0	0	0	1000	5	17	10	10	720	Ω© ¨2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	90	600	7	10							\settings\droprate\npcdroprate094.ini	1	20	100	200	36	0									
C≠¨ng Thi3	0	0	0	1000	5	17	10	10	720	Ω© ¨3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
HÒ thi1	0	0	6	1294	5	17	10	10	720	∏Ø ¨1	ø’ ÷	221	100	17	0;0	67;79	5	7	3	0	6	300	5	27	703	2	100										\settings\droprate\npcdroprate093.ini	1	25	60	60	46	0									
HÒ thi2	0	0	6	1300	5	17	10	10	720	∏Ø ¨2	ø’ ÷	260	100	20	74;91	0;0	5	34	12	18	3	300	6	27	701	2	100										\settings\droprate\npcdroprate094.ini	1	28	70	70	23	0									
HÒ thi3	0	6	6	1000	5	17	10	10	720	∏Ø ¨3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Cˆu PhÙng1	0	0	0	1000	5	17	10	10	720	æ≈∑Ô1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Cˆu PhÙng2	0	0	0	1000	5	17	10	10	720	æ≈∑Ô2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Cˆu PhÙng3	0	0	0	1000	5	17	10	10	720	æ≈∑Ô3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Phi Thi™n1	0	0	0	1000	5	17	10	10	720	∑…ÃÏ1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Phi Thi™n2	0	0	0	1000	5	17	10	10	720	∑…ÃÏ2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Phi Thi™n3	0	0	0	27000	12	17	10	10	540	∑…ÃÏ3	ø’ ÷	1180	100	0	762;822	762;822	5	5	3	0	2	300	5	18	701	2	100										\settings\droprate\npcdropratexb006.ini	1	99	1700	1700	36	0									
Y™u HÂ1	0	0	0	1000	12	17	10	10	720	—˝∫¸1	ø’ ÷	70	100	100	100	100					100	300	5	18	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Y™u HÂ 2	0	4	4	2444	12	17	10	10	720	—˝∫¸2	ø’ ÷	345	100	26	0;0	117;129	10	23	8	12	40	300	5	18	703	2	90	601	3	10							\settings\droprate\npcdroprate099.ini	1	35	102	102	32	0									
Y™u HÂ3	0	0	0	25000	12	17	10	10	540	—˝∫¸3	ø’ ÷	1149	100	0	720;770	720;770	5	5	3	0	2	300	5	9	701	2	100										\settings\droprate\npcdropratexb005.ini	1	96	1500	1500	23	0									
Tuy’t Qu∏i1	0	3	3	1645	5	17	10	10	720	—©π÷1	ø’ ÷	273	100	20	0;0	70;100	5	10	3	6	30	300	2	27	703	2	80	610	6	20							\settings\droprate\npcdroprate101.ini	1	29	74	74	21	0									
Tuy’t Qu∏i2	0	0	0	1000	5	17	10	10	720	—©π÷2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Tuy’t Qu∏i3	0	3	3	4378	8	17	10	10	900	—©π÷3	ø’ ÷	496	100	60	0;0	176;224	10	70	20	36	5	300	5	9	703	2	80	611	5	20							\settings\droprate\npcdroprate102.ini	1	46	214	214	23	0									
TrÔng Qu∏i1	0	2	2	6122	12	17	10	10	900	≥Êπ÷1	ø’ ÷	638	100	96	250;310	0;0	10	25	20	13	65	300	5	9	701	2	90	609	5	10							\settings\droprate\npcdroprate103.ini	1	55	381	381	17	0									
TrÔng Qu∏i2	0	2	2	7196	12	17	10	10	1080	≥Êπ÷2	ø’ ÷	735	100	120	300;362	0;0	10	51	40	26	30	300	5	9	701	2	80	601	4	20							\settings\droprate\npcdroprate104.ini	1	61	573	573	15	0									
TrÔng Qu∏i3	0	2	2	1000	5	17	10	10	720	≥Êπ÷3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thπch Nh©n1	0	5	5	8334	5	17	10	10	1080	 Ø»À1	ø’ ÷	838	100	54	404;504	404;504	10	65	80	33	40	300	5	9	701	2	100										\settings\droprate\npcdroprate106.ini	1	69	797	797	29	0									
Thπch Nh©n2	0	5	5	1000	5	17	10	10	720	 Ø»À2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thπch Nh©n3	0	5	5	1000	5	17	10	10	720	 Ø»À3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Xµ Y™u1	0	0	0	1000	5	17	10	10	720	…ﬂ—˝1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Xµ Y™u2	0	0	0	1000	5	17	10	10	720	…ﬂ—˝2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Xµ Y™u3	0	0	0	1000	5	17	10	10	720	…ﬂ—˝3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
H·a k˙ l©n1	0	4	4	11400	8	17	10	10	1080	ª˜Ë˜Î1	ø’ ÷	873	100	160	0;0	790;940	10	35	58	25	64	300	5	9	634	12	100										\settings\droprate\npcdroprate108.ini	1	70	849	849	15	0									
Ng‰c k˙ l©n2	0	0	0	174550	8	5	10	10	64800	”Ò˜Ë˜Î2	ø’ ÷	600	100	120	680;880	680;880	10	15	90	8	45	400	5	9	634	12	80	621	15	20							\settings\droprate\npcdroprate109.ini	10	50	5000	5000	14	2									
Tˆ k˙ l©n3	0	0	0	1000	5	17	10	10	720	◊œ˜Ë˜Î3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ng≠ Qu∏i1	0	3	3	6513	5	17	10	10	900	”„π÷1	ø’ ÷	589	100	70	200;320	0;0	10	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate110.ini	1	40	322	322	18	0									
Ng≠ Qu∏i2	0	3	3	7520	5	17	10	10	900	”„π÷2	ø’ ÷	654	100	80	248;328	0;0	10	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate111.ini	1	42	405	405	18	0									
Ng≠ Qu∏i3	0	0	0	1000	5	17	10	10	720	”„π÷3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
∏c Qu˚	0	0	6	200000	12	17	10	10	1080	¿˜πÌ	ø’ ÷	4000	100	10	3500;4000	3500;4000	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdroprateligui.ini	1	85	1100	1100	18	0									
O∏n Qu˚	0	6	6	9939	12	17	10	10	1080	‘ππÌ	ø’ ÷	798	100	130	0;0	678;828	10	30	15	40	70	300	5	9	703	2	100										\settings\droprate\npcdroprate112.ini	1	66	676	676	32	0									
∏c Qu˚	0	6	6	8821	12	17	10	10	1080	∂ÒπÌ	ø’ ÷	826	100	110	0;0	348;374	10	58	22	30	70	300	5	9	703	2	80	628	11	20							\settings\droprate\npcdroprate113.ini	1	68	752	752	40	0									
¢m HÂn1	0	0	6	2594	8	17	10	10	720	“ıªÍ1	ø’ ÷	396	100	30	0;0	131;165	10	29	5	15	10	300	5	18	703	2	100										\settings\droprate\npcdroprate114.ini	1	39	136	136	40	0									
¢m HÂn2	0	6	6	2163	5	17	10	10	720	“ıªÍ2	ø’ ÷	333	100	25	0;0	100;136	10	19	6	10	40	300	5	18	704	2	90	601	5	10							\settings\droprate\npcdroprate115.ini	1	34	96	96	32	0									
¢m HÂn3	0	6	6	1000	5	17	10	10	720	“ıªÍ3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ThÙ Qu∏i1	0	2	2	5274	5	17	10	10	900	 ˜π÷1	ø’ ÷	770	100	60	0;0	230;260	10	25	35	42	10	300	6	9	704	2	80	604	10	20							\settings\droprate\npcdroprate116.ini	1	50	289	289	22	0									
ThÙ Qu∏i2	0	0	0	1000	5	17	10	10	720	 ˜π÷2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ThÙ Qu∏i3	0	0	0	1000	5	17	10	10	720	 ˜π÷3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C¨ quan nh©n1	0	2	2	4035	8	17	10	10	900	ª˙πÿ»À1	ø’ ÷	496	100	60	160;240	0;0	10	0	24	35	12	300	3	9	701	2	100										\settings\droprate\npcdroprate118.ini	1	46	214	214	29	0									
C¨ quan nh©n2	0	1	1	4912	8	17	10	10	900	ª˙πÿ»À2	ø’ ÷	573	100	86	168;328	0;0	10	40	16	21	75	300	3	9	701	2	100										\settings\droprate\npcdroprate119.ini	1	51	307	307	14	0									
Thi™n Binh1	0	1	1	62000	5	17	10	10	1080	ÃÏ±¯1	ø’ ÷	1220	100	320	800;864	0;0	0	0	0	0	0	300	5	9	701	2	80	612	5	20								1	96	2152	2152	18	0									
Thi™n Binh2	0	0	0	1000	5	17	10	10	720	ÃÏ±¯2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n Binh3	0	0	0	1000	5	17	10	10	720	ÃÏ±¯3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n Binh4	0	0	0	1000	5	17	10	10	720	ÃÏ±¯4	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ti™n N˜1	0	3	3	9344	14	17	10	10	1080	œ…≈Æ1	ø’ ÷	838	100	130	0;0	404;426	10	52	20	27	30	300	6	9	703	2	100										\settings\droprate\npcdroprate122.ini	1	69	797	797	14	0									
Ti™n N˜2	0	0	0	1000	5	17	10	10	720	œ…≈Æ2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ti™n N˜3	0	0	0	1000	5	17	10	10	720	œ…≈Æ3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n T≠Ìng 1	0	0	0	1000	5	17	10	10	720	ÃÏΩ´1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n T≠Ìng 2	6	0	0	1000	0	17	10	10	720	ÃÏΩ´2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n T≠Ìng 3	0	0	0	1000	5	17	10	10	720	ÃÏΩ´3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi™n T≠Ìng 4	0	0	0	1000	5	17	10	10	720	ÃÏΩ´4	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
TËng k˛ binh	0	0	0	549659	12	17	10	10	64800	ÀŒ∆Ô±¯	ø’ ÷	900	100	60	2770;3570	0;0	10	62	52	33	50	300	5	9	701	4	80	621	10	20	617	7	0	618	1	0	\settings\droprate\npcdroprate126.ini	10	70	10000	10000	14	2									
Kim k˛ binh	0	0	0	169000	14	17	10	10	64800	Ω∆Ô±¯	ø’ ÷	900	100	60	1750;2070	0;0	10	66	50	34	40	300	5	9	616	4	80	623	5	20	617	7	0	618	1	0	\settings\droprate\npcdroprate127.ini	10	70	10000	10000	15	2									
Nh t ßao	0	0	0	1000	5	17	10	10	720	“ªµ∂	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Nh t Thi”m	0	0	0	1000	5	17	10	10	720	“ª…¡	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Nh t Khi™u	0	0	0	1000	5	17	10	10	720	“ªÃÙ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Huy’t C´ L©u	0	0	0	1000	5	17	10	10	720	—™˜º˜√	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
TËng Giang	6	0	0	1000	5	17	10	10	720	ÀŒΩ≠	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Phong Hi	0	0	0	1000	5	17	10	10	720	∑‚œ°	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
H◊nh Thi™n	0	0	0	1000	5	17	10	10	720	–ÃÃÏ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Hoµn Nhan HÂng Li÷t	0	0	0	1000	5	17	10	10	720	ÕÍ—’∫Ï¡“	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	2									
Th·	0	0	0	100	5	17	10	10	720	Õ√◊”	ø’ ÷	70	100	100	50	100					50	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	1	25	50	36	0									
S„i	0	0	0	200	5	17	10	10	720	¿«	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	10	50	100	36	0									
Heo rıng	0	0	0	500	5	17	10	10	720	“∞÷Ì	ø’ ÷	70	100	100	200	100					200	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
																																																				
D˘ L≠u										‘§¡Ù																																										
D˘ L≠u										‘§¡Ù																																										
Ch≠Îng d≠Óc Trung Nguy™n	6				3					÷–‘≠“©µÍ’∆πÒ														18																												
Ch≠Îng d≠Óc T©y Nam	6				3					Œ˜ƒœ“©µÍ’∆πÒ														18																												
Ch≠Îng d≠Óc ThÊ PhÂn	6				3					Õ¬ﬁ¨“©µÍ’∆πÒ														18																												
Ti”u nhﬁ Trung Nguy™n	6				3					÷–‘≠æ∆µÍ–°∂˛														18																												
Ti”u nhﬁ T©y Nam	6				3					Œ˜ƒœæ∆µÍ–°∂˛														18																												
Ti”u nhﬁ ThÊ PhÂn	6				3					Õ¬ﬁ¨æ∆µÍ–°∂˛														18																												
ChÒ VÚ kh› Trung Nguy™n	6				3					÷–‘≠Œ‰∆˜µÍ¿œ∞Â														18																												
ChÒ ti÷m vÚ kh› T©y Nam	6				3					Œ˜ƒœŒ‰∆˜µÍ¿œ∞Â														18																												
ChÒ ti÷m vÚ kh› ThÊ PhÂn	6				3					Õ¬ﬁ¨Œ‰∆˜µÍ¿œ∞Â														18																												
ChÒ ti÷m Æ∏ Trung Nguy™n	6				3					÷–‘≠”Ò∆˜¿œ∞Â														18																												
ChÒ ti÷m Æ∏ T©y Nam	6				3					Œ˜ƒœ”Ò∆˜¿œ∞Â														18																												
ChÒ ti÷m Æ∏ ThÊ PhÂn	6				3					Õ¬ﬁ¨”Ò∆˜¿œ∞Â														18																												
ChÒ T¨ lÙa Trung Nguy™n	6				3					÷–‘≠≥Ò∂–◊Ø¿œ∞Â														18																												
ChÒ ti÷m v∂i T©y Nam	6				3					Œ˜ƒœ≥Ò∂–◊Ø¿œ∞Â														18																												
ChÒ ti÷m v∂i	6				3					≥Ò∂–◊Ø¿œ∞Â														18																												
Xa phu Trung Nguy™n	6				3					÷–‘≠¬Ì≥µ¥¨∑Ú														18																												
Xa phu T©y Nam	6				3					Œ˜ƒœ¬Ì≥µ¥¨∑Ú														18																												
Xa phu	6				3					Õ¬ﬁ¨¬Ì≥µ¥¨∑Ú														18																												
ThÓ rÃn Trung Nguy™n	6				3					÷–‘≠Ã˙Ω≥ ¶∏µ														18																												
ThÓ rÃn T©y Nam	6				3					Œ˜ƒœÃ˙Ω≥ ¶∏µ														18																												
ThÓ rÃn ThÊ PhÂn	6				3					Õ¬ﬁ¨Ã˙Ω≥ ¶∏µ														18																												
ChÒ c«m ÆÂ Trung Nguy™n	6				3					÷–‘≠µ±∆Ã¿œ∞Â														18																												
ChÒ c«m ÆÂ T©y Nam	6				3					Œ˜ƒœµ±∆Ã¿œ∞Â														18																												
ChÒ c«m ÆÂ ThÊ PhÂn	6				3					Õ¬ﬁ¨µ±∆Ã¿œ∞Â														18																												
R≠¨ng ÆÂ Trung Nguy™n	6				0					÷–‘≠¥¢ŒÔπÒ														18																												
R≠¨ng ÆÂ T©y Nam	6				0					Œ˜ƒœ¥¢ŒÔπÒ														18																												
R≠¨ng ÆÂ Tr.Nguy™n	6				0					Õ¬ﬁ¨¥¢ŒÔπÒ														18																												
Tr≠¨ng Trπch ßoan	6				3					’≈‘Ò∂À														18																												
Thi÷u Ung	6				3					…€”∫														18																												
Tr◊nh Di	6				3					≥Ã“√														18																												
Li‘u V‹nh	6				3					¡¯”¿														18																												
T´ Th¯c	6				3					À’È¯														18																												
V≠¨ng An Thπch	6				3					Õı∞≤ Ø														18																												
Trung ni™n nam	6				3					÷–ƒÍƒ–														18																												
Tr›ch Th«n	6				3					⁄ÿ≥º														18																												
Tˆ Thanh Th≠Óng Nh©n	6				3					◊œ«Â…œ»À														18																												
Nguy÷t L∑o	6				3					‘¬¿œ														18																												
T≠ M∑ Quang	6				3					Àæ¬Ìπ‚														18																												
CÙ giµ	6				3					¿œƒÍƒ–														18																												
Quan vi™n	6				3					πŸ‘±														18																												
Th»m Qu∏t	6				3					…Ú¿®														18																												
Di™m La	6				3					—÷¬ﬁ														18																												
Hæc V´ Th≠Íng	6				3					∫⁄Œﬁ≥£														18																												
Bπch V´ Th≠Íng	6				3					∞◊Œﬁ≥£														18																												
Qu˚ Sai	6				3					πÌ≤Ó														18																												
Tri÷u C∏t	6				3					’‘Ÿ•														18																												
